id,book_author_full_name
554,Перумов Николай Данилович
555,Смыслов Олег Сергеевич
556,Орлов Антон
557,Даль Владимир Иванович
558,Афанасьев Роман Сергеевич
559,Сенгепов Алексей Михайлович
560,Пастернак Евгения Борисовна
561,Водолазкин Евгений Германович
562,Неелов Юрий Васильевич
563,Солонин Марк Семенович
564,Сокол Лена
565,Кузнецова Юлия Никитична
566,Кирсанова Диана
567,Драбкин Артем Владимирович
568,Орловский Гай Юлий
569,Аткинсон Кейт
570,Мыльцев Алексей Борисович
571,Маркович Серж
572,Пермяк Евгений Андреевич
573,Крылов Иван Андреевич
574,Сафон Карлос Руис
575,Кларк Стефан
576,Мамин-Сибиряк Дмитрий Наркисович
577,Спрингер Нэнси
578,Богаченко Вера Михайловна
579,Гриценко Вадим Николаевич
580,Харючи Сергей Николаевич
581,Захарова Юлия Андреевна
582,Рожин Анатолий Иванович
583,Дефо Даниель
584,Левицкий Андрей Юрьевич
585,Робски Оксана Викторовна
586,Бочкарева Светлана Владимировна
587,Уэст Кейси
588,Прокофьева Софья Леонидовна
589,Берроуз Эдгар Райс
590,Ледков Василий Николаевич
591,Прошкин Евгений Александрович
592,Гете Иоганн Вольфганг
593,Несс Патрик
594,Токмакова Ирина Петровна
595,Леонов Василий
596,Толкачев Андрей Николаевич
597,Леонтьев
598,Толстая Наталья Владимировна
599,Голсуорси Джон
600,Блайтон Энид Мэри
601,Гиппенрейтер Юлия Борисовна
602,Липатова Людмила Федоровна
603,Миллер Генри
604,Рауд Эно Мартинович
605,Годин Александр Михайлович
606,Рамендик Дина Михайловна
607,Богданова Вероника Владимировна
608,Рассолов Михаил Михайлович
609,Несбит Эдит
610,Веркин Эдуард Николаевич
611,Генис Александр Александрович
612,Гейнце Николай Эдуардович
613,Кайгородов Григорий Константинович
614,Еналь Варвара
615,Лэкберг Камилла
616,Искандер Фазиль Абдулович
617,Керуак Джек
618,Маховикова Галина Афанасьевна
619,Кэрролл Льюис
620,Басаков Михаил Иванович
621,Гришэм Джон
622,Басинский Павел Валерьевич
623,Распутин Валентин Григорьевич
624,Мориарти Лиана
625,Басовский Леонид Ефимович
626,Кеннеди Дуглас
627,Дивер Джеффри
628,Окладников Алексей Павлович
629,Касс Кира
630,Фрай Стивен
631,Попова
632,Ершов Петр Павлович
633,Гари Ромен
634,Брюсов Валерий Яковлевич
635,Казаков Дмитрий Львович
636,Мейл Питер
637,Казанцев Кирилл
638,Каст Филис Кристина
639,Бронте Шарлотта
640,Таксами Чунер Михайлович
641,Гаршин Всеволод Михайлович
642,Гейко Юрий Васильевич
643,Вернер Елена
644,Майер Стефани
645,Южаков Александр Александрович
646,Шигин Владимир Виленович
647,Козлов Сергей Григорьевич
648,Анисимов Сергей Викторович
649,Кронин Арчибальд Джозеф
650,Конторович Александр Сергеевич
651,Аллен Сара Эддисон
652,Акутагава Рюноскэ
653,Андреев Леонид Николаевич
654,Шойнеманн Фрауке
655,Яковлев Юрий Яковлевич
656,Этвуд Маргарет
657,Аберкромби Джо
658,Кови Стивен Р.
659,Адра Фред
660,Корчак Януш
661,Андерсен Ханс Кристиан
662,Соловьев Владимир Рудольфович
663,Царева Маша
664,Каверин Вениамин Александрович
665,Олеша Юрий Карлович
666,Корнев Борис Федорович
667,Немов Роберт Семенович
668,Риггз Ренсом
669,Гордина Елена
670,Сервантес Сааведра Мигель де
671,Сверчков Владимир Викторович
672,Ольховская Влада
673,Тимошенко Наталья Васильевна
674,Букай Хорхе
675,Алексин Анатолий Георгиевич
676,Гуревич Павел Семенович
677,Мухин Юрий Игнатьевич
678,Чупринин Сергей Иванович
679,Хэрриот Джеймс
680,Бушков Александр Александрович
681,Аксаков Сергей Тимофеевич
682,Сергеева Оксана
683,Перес-Реверте Артуро
684,Райли Люсинда
685,Ненянг Любовь Прокопьевна
686,Гулик Роберт Ханс ван
687,Ахмадулина Белла Ахатовна
688,Гамильтон Лорел Кей
689,Фонвизин Денис Иванович
690,Атаманенко Игорь Григорьевич
691,Щеглова Ирина Владимировна
692,Степанов Сергей Сергеевич
693,Ванеев Анатолий Николаевич
694,Мердок Айрис
695,Бекетт Саймон
696,Егорова Алина
697,Чайнани Соман
698,Чайлд Ли
699,Ефремов Иван Антонович
700,Явтысый Прокопий Андреевич
701,Цыферов Геннадий Михайлович
702,Макаревич Андрей Вадимович
703,Фрейзер Джордж Макдоналд
704,Сержантова Алевтина Владимировна
705,Мандельштам Осип Эмильевич
706,Петрова
707,Драгунский Денис Викторович
708,Логвин Янина
709,Варгас Фред
710,Хайнлайн Роберт Ансон
711,Степнова Марина Львовна
712,Гетьман-Павлова Ирина Викторовна
713,Стивенсон Роберт Луис
714,Жарковская Елена Павловна
715,Янси Рик
716,Вокуева-Белорукова Раиса Хасановна
717,Шервуд Том
718,Лю Цысинь
719,Мюрай Мари-Од
720,Харрис Томас
721,Кучкина Ольга Андреевна
722,Харрисон Лизи
723,Якушев Андрей Викторович
724,Семенова Надежда Алексеевна
725,Трубецкой Евгений Николаевич
726,Дубини Мириам
727,Колесникова Галина Ивановна
728,Соколов
729,Ялом Ирвин
